mdl-(0,1,0)-61-2FBC28301B618CE8	vertices = (vtx-A03-61-0-2)	Δ = 61	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A3-4) + 2 x (irr-A3-6)
mdl-(0,1,0)-76-EFC4658767048216	vertices = (vtx-A04-76-0-2)	Δ = 76	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A4-5) + 2 x (irr-A4-10)
mdl-(0,1,0)-91-CBA66D1D767F3FAD	vertices = (vtx-A05-91-0-2)	Δ = 91	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A5-6) + 2 x (irr-A5-15)
mdl-(0,1,0)-92-3D07FBE6D904FA45	vertices = (vtx-A05-92-0-2)	Δ = 92	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 17 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)
mdl-(0,1,0)-93-3C1045A2C5375337	vertices = (vtx-A05-93-0-2)	Δ = 93	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 18 x (irr-A5-6) + 1 x (irr-A5-20-q)
mdl-(0,1,0)-106-49FBBB5B5BD7592C	vertices = (vtx-A06-106-0-2)	Δ = 106	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A6-7) + 2 x (irr-A6-21)
mdl-(0,1,0)-121-A1584A81489A43DC	vertices = (vtx-A07-121-0-2)	Δ = 121	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A7-8) + 2 x (irr-A7-28)
mdl-(0,1,0)-136-EDC260F1C0847D97	vertices = (vtx-A08-136-0-2)	Δ = 136	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A8-9) + 2 x (irr-A8-36)
mdl-(0,1,0)-151-CEBF67422EE978DC	vertices = (vtx-A09-151-0-2)	Δ = 151	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A9-10) + 2 x (irr-A9-45)
mdl-(0,1,0)-166-848A7E005A404777	vertices = (vtx-A10-166-0-2)	Δ = 166	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A10-11) + 2 x (irr-A10-55)
mdl-(0,1,0)-181-5A8118DE97BD6BE2	vertices = (vtx-A11-181-0-2)	Δ = 181	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A11-12) + 2 x (irr-A11-66)
mdl-(0,1,0)-196-CCBB687180F91567	vertices = (vtx-A12-196-0-2)	Δ = 196	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A12-13) + 2 x (irr-A12-78)
mdl-(0,1,0)-211-B7876492EAF394BB	vertices = (vtx-A13-211-0-2)	Δ = 211	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A13-14) + 2 x (irr-A13-91)
mdl-(0,1,0)-226-F23CFFD5FB4A7AFB	vertices = (vtx-A14-226-0-2)	Δ = 226	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A14-15) + 2 x (irr-A14-105)
mdl-(0,1,0)-241-068D145593ED84D4	vertices = (vtx-A15-241-0-2)	Δ = 241	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-A15-16) + 2 x (irr-A15-120)
mdl-(0,1,0)-64-EDE40DED1F6ADDB8	vertices = (vtx-B03-64-0-2)	Δ = 64	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 3 x (irr-B3-7) + 8 x (irr-B3-8)
mdl-(0,1,0)-73-A8BF52609616F162	vertices = (vtx-B04-73-0-2)	Δ = 73	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 5 x (irr-B4-9) + 4 x (irr-B4-16)
mdl-(0,1,0)-86-917624B46B5D0795	vertices = (vtx-B05-86-0-2)	Δ = 86	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 7 x (irr-B5-11) + 2 x (irr-B5-32-q)
mdl-(0,1,0)-103-7AABCEB6EA13EC2D	vertices = (vtx-B06-103-0-2)	Δ = 103	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 9 x (irr-B6-13) + 1 x (irr-B6-64-q)
mdl-(0,1,0)-89-F8DE186533BCBEF6	vertices = (vtx-C03-89-0-2)	Δ = 89	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-C3-6-q) + 1 x (irr-C3-14a)
mdl-(0,1,0)-91-CE95665032FD37EF	vertices = (vtx-C03-91-0-2)	Δ = 91	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 17.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)
mdl-(0,1,0)-119-81D870D1FA20E4CC	vertices = (vtx-C04-119-0-2)	Δ = 119	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-C4-8-q) + 1 x (irr-C4-27)
mdl-(0,1,0)-149-13822EF1CDE52F50	vertices = (vtx-C05-149-0-2)	Δ = 149	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-C5-10-q) + 1 x (irr-C5-44)
mdl-(0,1,0)-179-27DF49B03AB20542	vertices = (vtx-C06-179-0-2)	Δ = 179	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-C6-12-q) + 1 x (irr-C6-65)
mdl-(0,1,0)-209-4C3E92BD1B3A4CE5	vertices = (vtx-C07-209-0-2)	Δ = 209	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-C7-14-q) + 1 x (irr-C7-90)
mdl-(0,1,0)-239-91DFF4E6B660CD69	vertices = (vtx-C08-239-0-2)	Δ = 239	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 16 x (irr-C8-16-q) + 1 x (irr-C8-119)
mdl-(0,1,0)-68-174925102D5A9205	vertices = (vtx-D04-68-0-2)	Δ = 68	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 4 x (irr-D4-8a) + 8 x (irr-D4-8b)
mdl-(0,1,0)-79-53358D339EB3A738	vertices = (vtx-D05-79-0-2)	Δ = 79	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 6 x (irr-D5-10) + 4 x (irr-D5-16)
mdl-(0,1,0)-94-DC28CA8D30EF8483	vertices = (vtx-D06-94-0-2)	Δ = 94	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 8 x (irr-D6-12) + 2 x (irr-D6-32-q)
mdl-(0,1,0)-113-165E6889D52A907A	vertices = (vtx-D07-113-0-2)	Δ = 113	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 10 x (irr-D7-14) + 1 x (irr-D7-64)
mdl-(0,1,0)-84-A725F31178DAB6B9	vertices = (vtx-E06-84-0-2)	Δ = 84	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 6 x (irr-E6-27)
mdl-(0,1,0)-91-0AEBBCA1D0D0033D	vertices = (vtx-E07-91-0-2)	Δ = 91	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 4 x (irr-E7-56-q)
mdl-(0,1,0)-78-D21FAA5D9DB07DCE	vertices = (vtx-F04-78-0-2)	Δ = 78	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 5 x (irr-F4-26)
mdl-(0,1,0)-56-56B48747B88A93E0	vertices = (vtx-G02-56-0-2)	Δ = 56	bI-odd = ([[3,1],[1,1]])	bI-even = ([[2,2],[1,0]], [[1,4],[0,2]])	(1) : 10 x (irr-G2-7)
